pre_observations,pre_slope_per_day,naive_gain_3d,counterfactual_gain_3d,effect_day7,effect_day14,effect_day30,retention_day30,event_id,device,event_date,maintenance_type
21,-0.541117343479204,39.253996492746026,42.02647564228916,42.66994301952809,43.87264332619529,45.636793032852445,1.0859057852314984,54,A4,2025-01-18,中维护
17,-0.5700565400008877,23.258590530757616,25.637590279463993,25.433528332086446,26.688178325858186,29.578955496994876,1.1537338406054474,55,A4,2025-02-20,中维护
21,-0.3622759603860605,6.153575697713222,6.663923110517156,6.942139259086292,6.97114304904612,9.580032949077207,1.4375965613945605,56,A4,2025-04-10,中维护
21,-0.33202862014200996,8.044838883801617,9.201967445777763,8.975927558220997,8.967673829175045,9.303583634712016,1.0110428763775814,57,A4,2025-06-04,中维护
21,-0.22132250304703088,20.977385130808017,23.4529127419694,24.12775980341265,23.87381842708028,23.53043400411088,1.0033054001860824,58,A4,2025-08-06,中维护
18,-0.23576934911648806,3.873391608121949,5.675649678228258,5.740297075059675,6.3506617323573575,7.58041510383315,1.3356030645992045,59,A4,2025-10-10,中维护
21,-0.13372950120376678,23.07484652507003,23.046957407953382,22.03153578388793,19.944824570913763,15.42473802083233,0.6692743752591539,60,A4,2025-12-09,中维护
20,-0.4720638371259998,31.372042347652666,32.27600428714228,31.83813326909879,30.789578332444314,29.47920254391664,0.9133473363572517,61,A4,2026-01-21,中维护
21,-0.44692268756796144,26.258488523077474,29.26491245381247,29.712923198064278,30.1704890529976,31.655829808226972,1.0816991118011365,62,A4,2026-03-12,中维护
21,-0.39608298614514664,7.099384498818253,8.657308534072166,9.814460918796467,11.42590396714283,14.326848974764138,1.6548848777167435,64,A5,2024-07-18,中维护
21,-0.30362049664172364,6.1158576770842075,6.177614686726126,4.939481748680086,4.768677643463542,7.22697131092249,1.1698643695682611,65,A5,2024-09-21,大维护
20,-0.01584368425759332,32.465519660801505,32.122495926078706,30.39904414574488,30.243382074277974,26.031721688271592,0.810389135021656,66,A5,2024-11-24,中维护
21,-0.49894180984083225,30.197144290033904,31.655703562047467,31.009183218184454,31.972907889113216,29.601743560804966,0.9351156420448343,67,A5,2025-01-21,中维护
