device,date,predicted_P_mean,predicted_P_std,predicted_P_q05,predicted_P_q95,actual_P,C_mean,F_mean
A8,2026-01-11,61.033091612527876,6.5471625791183605,50.341008629968655,71.40578173444264,66.1290210700608,87.26990611769854,11.505462161696803
A8,2026-01-12,61.05940381734176,6.262547627843103,51.02548817068417,71.59051338809988,64.5127215125975,87.22159356333293,11.793891834223317
A8,2026-01-13,60.12380393316378,5.266150507345003,52.160885052462554,69.07221317609817,63.61311915327755,87.16938237906834,12.080626320586298
A8,2026-01-14,59.55091459685846,6.203803508188722,48.91172296259266,68.49018175253092,63.3215474912588,87.11872949923801,12.375121116255059
A8,2026-01-15,59.37160117059872,6.812905781046094,49.36889238518334,72.81536428324054,62.20971414163205,87.07163690583938,12.663745185678987
A8,2026-01-16,59.284370062782884,6.023627215568602,51.17863646233654,70.0679110257222,62.25004917028175,87.01968254626432,12.965367551003794
A8,2026-01-17,58.85174782288184,6.705260417082855,47.54008467777242,69.78529563027949,61.57944724146365,86.97057738070978,13.254640524604165
A8,2026-01-18,58.35953606243846,6.377698407202674,48.03357427123383,69.06486337783967,60.5122713989907,86.92062100429885,13.553270777048334
A8,2026-01-19,58.9506750756498,6.066997901550065,48.52076830832195,68.38713085882065,59.8348749046315,86.86939022867304,13.852525855300787
A8,2026-01-20,57.381510484743416,5.6760692213350525,48.997427164226785,66.83692773731836,58.59308878752845,86.82192655143419,14.153795387430153
A8,2026-01-21,57.617603972749805,5.899311147377824,47.97269319333588,68.63489887616414,58.3438871921548,86.7684894133353,14.449610409653358
A8,2026-01-22,56.63198381337222,5.7547772960481725,47.47942438741765,64.65860259812948,57.6009661129276,86.71351770885049,14.744874606636657
A8,2026-01-23,56.94824880937846,6.292025986270189,46.85320459080744,68.11188979016401,57.03023390387701,86.66583596052324,15.029587846285022
A8,2026-01-24,56.497409525136106,5.898437164025908,46.92390916642577,66.70327546776971,56.213764949151056,86.61244576225594,15.316466622246738
A8,2026-01-25,56.26429358514074,5.759956232387355,48.17138393670951,66.5063802107156,55.61873286975665,86.56448768721579,15.610199738057492
A8,2026-01-26,56.74525318923938,5.52467440147659,46.125000476718895,65.88200963800968,54.84256362391465,86.51711361603367,15.906982584918204
A8,2026-01-27,54.915616179900155,6.290780780923659,42.70034309170402,64.1847700034434,54.544904681386,86.46613834678323,16.205138471166627
A8,2026-01-28,55.31324058256713,5.6202782925631,45.81891341308753,64.60946415949604,53.75638359055025,86.41891137935167,16.516969042866705
A8,2026-01-29,55.16546902063339,6.039478688889667,44.8062258613347,64.88740805361115,54.3907132523663,86.36688523315672,16.80003686922756
A8,2026-01-30,54.898823860222166,6.404233373611215,44.93157270345123,64.47448422986764,53.07533057132895,86.31659939629833,17.09364995312066
A8,2026-01-31,54.95752537056355,5.7973429375387395,46.46718930229419,63.95137903778459,53.7114564678841,86.26897394643305,17.377307376936848
A8,2026-02-01,54.316318275876526,6.294816706831938,43.10493855690549,62.53557228522303,,86.21621626713195,17.672851693358687
A8,2026-02-02,54.61028879506371,6.202449576930317,44.588522743654316,63.92669438003216,51.8627695978353,86.1623940583565,17.949384132159523
A8,2026-02-03,53.231265374509306,5.963009815134513,44.75638910639583,63.29572594971905,51.59043107029435,86.11248577653195,18.239134336708222
A8,2026-02-04,53.83771933301078,6.482103918194935,43.67783566135786,64.49814558494369,51.51695072813265,86.05933032310023,18.537946159345395
A8,2026-02-05,52.68389636547551,5.855869028592423,43.99022811834851,62.625083040324704,50.9244612151669,86.00716124059423,18.82340553267245
A8,2026-02-06,53.35733011812872,5.951164281048969,42.449782987748286,62.91235537691264,50.03230267366155,85.95419989807351,19.117427708159532
A8,2026-02-07,52.8377190281047,5.802375166024736,42.68647115639875,62.02795642927755,49.72694452843105,85.89730848301771,19.407434156145825
A8,2026-02-08,51.21250988211293,5.8391932725776865,42.774495366965034,60.280068458457876,48.9621575671622,85.84462381835148,19.708181550871416
A8,2026-02-09,51.32397252543718,6.208509943570174,41.02053899449627,62.13460102306774,,85.00417438228115,5.011184125764663
A8,2026-02-10,66.53720500743532,5.986028734153876,57.030104438980494,75.4166731228527,67.06593134230985,84.9504650810052,5.305480622817942
A8,2026-02-11,64.95882035541077,6.4746992243873445,52.784600736224284,74.65471039766129,65.64241096817909,84.90011082650761,5.593818221411006
A8,2026-02-12,64.75000175270262,6.568357894702877,54.12459215960395,73.70028946302641,65.46249692759785,84.84939533210101,5.896085817649472
