scenario_id,scenario_type,purchase_factor,medium_factor,major_factor,purchase_cost,medium_cost,major_cost
medium_major_1.10_0.70,中维护价×大维护价,1.0,1.1,0.7,300.0,3.3000000000000003,8.399999999999999
medium_major_1.10_0.80,中维护价×大维护价,1.0,1.1,0.8,300.0,3.3000000000000003,9.600000000000001
medium_major_1.10_0.90,中维护价×大维护价,1.0,1.1,0.9,300.0,3.3000000000000003,10.8
medium_major_1.10_1.00,中维护价×大维护价,1.0,1.1,1.0,300.0,3.3000000000000003,12.0
medium_major_1.10_1.10,中维护价×大维护价,1.0,1.1,1.1,300.0,3.3000000000000003,13.200000000000001
medium_major_1.10_1.20,中维护价×大维护价,1.0,1.1,1.2,300.0,3.3000000000000003,14.399999999999999
medium_major_1.10_1.30,中维护价×大维护价,1.0,1.1,1.3,300.0,3.3000000000000003,15.600000000000001
medium_major_1.10_1.40,中维护价×大维护价,1.0,1.1,1.4,300.0,3.3000000000000003,16.799999999999997
medium_major_1.10_1.50,中维护价×大维护价,1.0,1.1,1.5,300.0,3.3000000000000003,18.0
medium_major_1.20_0.50,中维护价×大维护价,1.0,1.2,0.5,300.0,3.5999999999999996,6.0
medium_major_1.20_0.60,中维护价×大维护价,1.0,1.2,0.6,300.0,3.5999999999999996,7.199999999999999
medium_major_1.20_0.70,中维护价×大维护价,1.0,1.2,0.7,300.0,3.5999999999999996,8.399999999999999
medium_major_1.20_0.80,中维护价×大维护价,1.0,1.2,0.8,300.0,3.5999999999999996,9.600000000000001
medium_major_1.20_0.90,中维护价×大维护价,1.0,1.2,0.9,300.0,3.5999999999999996,10.8
medium_major_1.20_1.00,中维护价×大维护价,1.0,1.2,1.0,300.0,3.5999999999999996,12.0
medium_major_1.20_1.10,中维护价×大维护价,1.0,1.2,1.1,300.0,3.5999999999999996,13.200000000000001
medium_major_1.20_1.20,中维护价×大维护价,1.0,1.2,1.2,300.0,3.5999999999999996,14.399999999999999
medium_major_1.20_1.30,中维护价×大维护价,1.0,1.2,1.3,300.0,3.5999999999999996,15.600000000000001
medium_major_1.20_1.40,中维护价×大维护价,1.0,1.2,1.4,300.0,3.5999999999999996,16.799999999999997
